country,desc,expiry_date,id,locality,payment,payment_currency,posted_by,posting_date,region,title,type
GB,"Apply now
Business Analyst
London Contract £550 - £700 per day
We're currently seeking a number of accomplished and highly ambitious Business Analysts to work with our exceptional client, a world class brand in a secure environment to drive major business improvement, transformation, process change (both cultural and  technical) and technical development across this complex organisation which will run well into 2025.
These contract roles will require you to have a valid and active SC clearance prior to assignment. Opportunities are available in London.
These Business Analyst roles are conducted in an environment that is far from ordinary, therefore, we're not looking for ordinary. You'll have the potential to work effectively across a diverse range of projects spanning multiple business units, such as  communications, facilities, education, security and technical development. You will be encouraged and assisted to enhance your skills on unique projects.
You will be able to demonstrate your enthusiasm and experience of working in small, diverse, multi disciplinary teams to deliver flexible and outstanding solutions for internal and external senior stakeholders. You'll initiate and manage communication with  a diverse set of senior stakeholders, applying a wide range of analytics techniques to investigate and solve a variety of complex problems, including Business Process Analysis and developing business modelling artefacts. Therefore, exceptional stakeholder  management skills are a must. You will also need the leadership credentials to manage a small team. Highly analytical, flexible and persuasive, with first-class communication skills, you'll possess the ability to build effective relationships and support high  impact, lasting change across the organisation.
You will work within the IDAM project team to assist the analysis and implementation of new technologies and business processes and will need to quickly understand current technologies and ways-of-working, then help identify and analyse future requirements  and potential solution options.
Your experience:
As an exceptional Business Analyst you will have:
A track-record of success in similar Business Analyst roles, possibly obtained in the financial services, banking, consultancy, tech, transport, FMCG, retail, or public sector.
Experience of different strategic analysis techniques such as SWOT, PESTLE, Five Force Analysis.
Experience of modelling techniques/notations such as UML, Use Cases, Entity Models, Data and Information Models, Process Models/Swim Lane diagrams.
Use of relevant methodologies such as UML, LEAN, Six Sigma, ITIL, as well as experience of working within a Business Change lifecycle/framework.
Experience of working in a structured Prince 2 project environment and the Agile approach to development.
A relevant qualification such as ISEB Diploma in Business Analysis or Certified Business Analysis Professional is highly desirable.
In return:
You'll be joining an ambitious, high level team of like-minded and highly skilled individuals, all focussed on delivering the best possible outcome.
We are focused on bringing and nurturing the best talent into our team, recruiting widely to ensure we are inclusive and providing a supportive and safe environment where people can bring their authentic selves to work to be able to deliver at their best.
This is literally a once in a lifetime opportunity to step away from the mundane and forge your own path in a totally new direction working on life and culture changing projects.
If you're ready for a challenge like no other, apply today.
These roles are available on 12 month contracts (inside IR35).
Guidant Global is acting as an Employment Business in relation to this vacancy.",2023-10-20T23:55:00.0000000,51179566,City of London,£550.00 - £700.00 per day,GBP,Guidant Global,2023-09-08,London,Business Analyst,Contract full-time
GB,"Apply now
Business Analyst - IT, Change, Insurance
Full time - Hybrid - £40,000 - 50,000 + Benefits
Applause IT are looking for an experienced Business Analyst to join one of the largest and fastest-growing brokers in the UK & Ireland insurance market. Home to specialist home, motor, bike and pet insurance brands with over 2.3 million customers. They are  digitally-focused, and run by data-led customer experiences. This is through online channels and traditional call centres.
The successful Business Analyst will be effective in helping the business meet its objectives and goals. You will understand the current state of the business, through analysis and work with the business to recognise possible solutions to problems. The main  function of this role is to understand business change requirements, needs and proposals using a range of appropriate methods, including: workshops, site visits, user cases, interviews, business task, process and workflow analysis.
You will be working closely with the key stakeholders, business functions, Project Managers and Senior Business Analysts to assist in the documentation and refinement of requirements, documenting these in a structured way which will form the platform for  IT or external supplier analysis and system design.
The successful Business Analyst will have the following experience & attributes:
Experience of business process mapping and analysis, including As-Is & To-Be processes.
Strong experience in change analysis
Knowledge of and experience in Waterfall & Agile business analysis approaches.
Ability to facilitate workshops to obtain business requirements.
Demonstrate Stakeholder Management skills.
Ability to work effectively across multiple change projects or change activities simultaneously.
This is an exciting opportunity for an individual to work in a progressive IT development environment, within an organisation that is continuing their growth as they push their innovative software in to the market.
If you'd like to know more about this Business Analyst opportunity, click APPLY NOW or send your CV directly to
to set up a call.
Business Analyst - IT, Change, Insurance
Full time - Hybrid - £40,000 - 50,000 + Benefits",2023-11-01T23:55:00.0000000,51258921,Manchester,"£40,000 - £50,000 per annum",GBP,Applause IT,2023-09-20,Lancashire,Business Analyst,Permanent full-time
GB,"Apply now
Business Analyst
Cheltenham Contract £484 - £577 per day
We're currently seeking a number of accomplished and highly ambitious Business Analysts to work with our exceptional client, a world class brand in a secure environment to drive major business improvement, transformation, process change (both cultural and  technical) and technical development across this complex organisation which will run well into 2025.
These contract roles will require you to have a valid and active SC clearance prior to assignment. Opportunities are available in Gloucestershire.
These Business Analyst roles are conducted in an environment that is far from ordinary, therefore, we're not looking for ordinary. You'll have the potential to work effectively across a diverse range of projects spanning multiple business units, such as  communications, facilities, education, security and technical development. You will be encouraged and assisted to enhance your skills on unique projects.
You will be able to demonstrate your enthusiasm and experience of working in small, diverse, multi disciplinary teams to deliver flexible and outstanding solutions for internal and external senior stakeholders. You'll initiate and manage communication with  a diverse set of senior stakeholders, applying a wide range of analytics techniques to investigate and solve a variety of complex problems, including Business Process Analysis and developing business modelling artefacts. Therefore, exceptional stakeholder  management skills are a must. You will also need the leadership credentials to manage a small team. Highly analytical, flexible and persuasive, with first-class communication skills, you'll possess the ability to build effective relationships and support high  impact, lasting change across the organisation.
You will work within the IDAM project team to assist the analysis and implementation of new technologies and business processes and will need to quickly understand current technologies and ways-of-working, then help identify and analyse future requirements  and potential solution options.
Your experience:
As an exceptional Business Analyst you will have:
A track-record of success in similar Business Analyst roles, possibly obtained in the financial services, banking, consultancy, tech, transport, FMCG, retail, or public sector.
Experience of different strategic analysis techniques such as SWOT, PESTLE, Five Force Analysis.
Experience of modelling techniques/notations such as UML, Use Cases, Entity Models, Data and Information Models, Process Models/Swim Lane diagrams.
Use of relevant methodologies such as UML, LEAN, Six Sigma, ITIL, as well as experience of working within a Business Change lifecycle/framework.
Experience of working in a structured Prince 2 project environment and the Agile approach to development.
A relevant qualification such as ISEB Diploma in Business Analysis or Certified Business Analysis Professional is highly desirable.
In return:
You'll be joining an ambitious, high level team of like-minded and highly skilled individuals, all focussed on delivering the best possible outcome.
We are focused on bringing and nurturing the best talent into our team, recruiting widely to ensure we are inclusive and providing a supportive and safe environment where people can bring their authentic selves to work to be able to deliver at their best.
This is literally a once in a lifetime opportunity to step away from the mundane and forge your own path in a totally new direction working on life and culture changing projects.
If you're ready for a challenge like no other, apply today.
These roles are available on 12 month contracts (inside IR35).
Guidant Global is acting as an Employment Business in relation to this vacancy.",2023-10-20T23:55:00.0000000,51179565,Cheltenham,£484.00 - £577.00 per day,GBP,Guidant Global,2023-09-08,Gloucestershire,Business Analyst,Contract full-time
GB,"Apply now
Business Analyst
Are you an experienced Business Analyst looking for your next career move? We are partnered with an innovative technology business who are looking for a Business Analyst to work within their product team working on a variety of exciting and challenging projects
This role would be based full time on site in Bristol, with an excellent base salary, benefits and annual bonus opportunity!
Experience
Previous experience as a BA
Experience with tech such as AEM, Hybris, Salesforce or SAP would be preferable
End to End User journey mapping
If you are an experienced BA looking for career development and a new role, please apply now!
We are an equal opportunities employer and welcome applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation, gender reassignment, marriage and civil partnerships, pregnancy or maternity  or age",2023-10-18T23:55:00.0000000,51168070,Bristol,Salary negotiable,GBP,Lorien,2023-09-06,Avon,Business Analyst,Permanent full-time
GB,"Apply on employer's website
ABOUT THE ROLE
Want to work for a multi award winning legal firm with my many more nominations this year?!
At HF technology and innovation is at the forefront our of minds! Just take a look at our recent innovations, like HOLT and Spyglass, which have led us to be named 'Most Innovative Law Firm of the Year' and 'Best Use of Technology'!
Help us to continue this success by joining our Business Analyst team!
This is a valuable position within the IT department, you will analyse and design solutions for complex business and IT processes, working in collaboration with the Development, MI, and Test teams, acting as an interface between both IT and the Business,  to understand and deliver successful business solutions.
What will you be doing?
Responsible for end-to-end business analysis for system and projects; including requirements gathering, facilitating workshops, business impact analysis, writing technical specifications, User Stories, design/UI specification and implementation support.
Ensure team values and working practices, specifically planning, communication, documentation and delivery, are followed and supported.
Produce accurate project documentation to capture, analyse and impact assess business requirements. Working to high standards of accuracy and complying with IT and team policies and guidelines.
Collaboratively engage and communicate effectively, with all levels of stakeholders and potentially clients, to elicit and investigate requirements and clearly explain technical solutions.
Collaboratively work with internal and external colleagues to design solutions and ensure delivery of desired outcomes for small and large projects.
Investigate and analyse complex technical system and operational processes and produce as-is and to-be process maps for stakeholder and technical use.
Develop with IT and the business, recommendations on different solutions, determine business, resource and cost impact and long-term scalability of solutions.
Work with the training department, business leads and end-users in the implementation and embedding of process change. Produce how-to guides in collaboration with the business and developers to capture and explain the process steps.
What are we looking for?
Previous business analysis experience
Experience of implementing software and process solutions
Ability to work with stakeholders at all levels of the organisation
Experience working with agile methodologies
Ability to work under pressure and to tight deadlines
High level of attention to detail
Excellent organisational skills
Excellent written and oral communications skills
Desirable skills:
Experience in case/claims/customer management systems
Experience with financial systems, ideally within a legal environment
Exposure to SAFe, ITIL, SDLC or other project management or IT service delivery methodologies
Exposure to legal or insurance industry
What’s in it for you?
We are not your stereotypical corporate law firm. We offer flexible working and have a relaxed dress code - you can be yourself at work! We offer hybrid working and flexible working hours for all.
We continue to place a firm emphasis on investing in our people and promoting internally. We’re always looking to recognise and reward our people for the work they do. Here are just a few of the benefits you will have access to as part of our team:
25 days’ annual leave (in addition to public holidays), increasing to 30 days with service
Private healthcare provision
Company pension scheme
Enhanced parental leave
Cycle to Work scheme
Life insurance and income protection
Employee Assistance Programme & Digital GP service
Season ticket loans
Flu vouchers
Bonus scheme
Perks at work scheme package
About the company
HF is one of the UK’s leading providers of legal and handling services to the general insurance sector. Established in 1969, the firm currently provides legal services to 12 of the UK’s 20 largest motor insurers in specialist areas such as counter fraud,  large & complex injury, motor and casualty services, recoveries, costs and credit hire. Horwich Farrelly has recently expanded into the provision of commercial legal services and litigation, providing solutions to a wide range of corporate and SME clients.
Sounds great! What next?
If you are ready to apply, the button is below.
As an equal opportunities’ employer, we're passionate about inclusive hiring approaches.
When you apply, you'll be asked about any adjustments you might need to support the recruitment process. Let us know, and we'll do our best to support you.
VISA Sponsorship not available.",2023-11-01T23:55:00.0000000,51263576,Salford,Competitive salary,GBP,Horwich Farrelly,2023-09-20,Lancashire,Business Analyst ,Permanent full-time
GB,"Apply now
My client are looking for multiple Business Analysts paying £500/day, Outside IR35.
This role will be a 6 months initial contract and are likely to extend beyond 12 months. The Ideal Candidate will go into the London office 2-3 days a week. (Hybrid)
They are looking for business analyst with either CRM experience or Digital projects. Financial services experience is needed. (Insurance is preferred but not needed)
Overall criteria for Digital Business Analyst role:
Experience delivering digital projects / web & software development experience is must.
Understanding of Content Management Systems desirable
Understanding of digital channels and how these can work for a customer
User Experience (UX) knowledge is needed
Overall criteria for CRM Business Analyst role:
CRM experience (enterprise) and have full CRM lifecycle experience
Facilitate workshops with key SMEs and stakeholders to extra use cases across the lifecycle stages
Ability to identify, articulate and document external and internal dependencies and capability gaps/requirements.
User Story/ requirements creation and governance
Knowledge of agile
Lawrence Harvey is acting as an Employment Business in regards to this position. Visit our website and follow us on Twitter for all live vacancies (lawharveyjobs)",2023-09-26T23:55:00.0000000,51201748,London,£500.00 - £501.00 per day,GBP,Lawrence Harvey,2023-09-12,South East England,Business Analyst,Permanent full-time
GB,"Apply now
Role: Business Analyst
Location: Remote with occasional travel
Duration: 2 months
Rate: £44.49 per hour
Description:
We are approaching end of lifecycle product with Kronos Workforce central at the end of 2025. The business is seeking 3 x Business Analysts (1 per global region – EMEA, APAC, AMERICAS) to generate Business requirements documentation and recommendations for  future global design.
This phase of work will drive the as-is discovery, analysis & design of the Global T&A function and Programme and consists of 27 employing countries, 18,000 employees (+ 5k contingent workers) and 13 existing global T&A solutions.
The programme team will be made up of 5 roles;
1 x Programme Lead,
3 x Business Analysts (EMEA, APAC, Americas)
1 x Solution Architect.
The Business Analyst will play a key role within this Discovery phase, working closely with key stakeholders to drive out all necessary requirements in order to ensure a robust set of outcomes that will drive to-be process maps and system requirements.
Experience
·        5 + years working in a Global BA role
·        Design & discovery business analyst experience
·        Business case experience • Strong experience in Time & Attendance / Payroll
·        Strong experience of Integrations and solution architecture
·        Strong experience of Data frameworks and mapping
·        Experience in working with stakeholders at all levels
·        Strong relationship building
·        Leadership with vision & ambition, passion for quality & speed, can do attitude, problem solver
·        High level of resilience
·        Collaborative working style appreciating the inclusion of geographies, organisation levels, functions and culture
·        Ability to work within an environment with low corporate governance
Deliverables:
As-is business process – taxonomy (Time / Absence segregation) End to end process maps Mapped across 6 x strategic pillars, technology, business process, data, controls, people, Change assessment Full site level functional review (mapped to payroll in country)  including but not limited to:
·        CBA / Works council / Union agreements
·        Legacy M&A T&C’s
·        Contingent worker time reporting
·        Project time reporting
·        Positive & negative time reporters
·        Clocks / badges o Arrears / time basis of payroll reporting
·        Legal & statutory reporting
·        Business reporting
·        Controls, approvals & reconciliations
·        Shift planning
·        Self-Service GAP Analysis by site, Payroll, Country across technology, process, data, controls, people, service To-be design recommendations (as above) including data flow, architecture landscape, roles & access, reporting strategy)
PMO management including (not limited to):
·        Weekly status updates
·        RACI
·        Risk management
·        Action management
·        Stakeholder management plan
·        Further as directed by programme lead
Programme Scope and approach
As-is Analysis & Assessment (understand what we have)
·        Global Solution Architecture mapping – solutions / Integrations / data
·        Regional As-is Business Process - Taxonomy
·        E2E Process Maps
·        6 Pillars: People, Data, Process, technology, Controls, Change Assessment
·        Full functional review of T&A categories
·        All performed at site level ? Payroll ? Country
·        Design across 6 x Pillars GAP Analysis To-Be (future state)
·        Global T&A Governance & Structure
·        TOM & resource model
·        Compliance
·        Data quality
·        Recommendations for agile suite of T&A solutions that best support the business
·        Roles & Access (Global vs Local)
·        Global Reporting Small RFP for local solutions (where required) Prepare, Engage, Review, Submit, Analyse, Presentations, Contract Award",2023-10-24T23:55:00.0000000,51203667,London,Salary negotiable,EUR,Cpl Life Sciences ,2023-09-12,South East England,Business Analyst,Permanent full-time
GB,"Apply now
Job Title: Senior Business Analyst (previous experience leading a team essential)
Location: Huddersfield
Salary: Up to £50,000 depending on experience plus bonus and other company benefits
Contract: Permanent
Hours: Full time
Here at FMG we have a fantastic opportunity in our Business Improvement Department; we are the UK's leading independent provider of fleet and insurer incident management and specialist vehicle recovery services. Due to continued growth, we are now seeking an  ambitious and experienced Senior Business Analyst, to help drive a team of Business Analyst to success.
Reporting directly to the Head of Business Improvement and working closely with other stakeholders in the business, your main responsibility will be to lead a team of Business Analysts within the FMG Business Improvement function. You will actively recruit,  coach and mentor the team and act as an ambassador for Business Analysis across the business. The role will also provide line management duties for the Business Analysts within the function (including appraisals, and L&D plans).
Additionally, you will be responsible for facilitating the development of business change initiatives, including problem analysis, strategic roadmap, process mapping, business requirements capture, functional modelling (user stories / use cases etc.), testing  and business readiness.
What’s in it for you?
Salary
- up to £50k per annum depending on experience, plus quarterly bonus and other company benefits.
Annual leave
- 24 days, rising to 26 with length of service. Of course, you’ll have public holidays too and we’ll even help you celebrate with an extra day off for your birthday!
Pension
- 3% Employer Contributions.
Financial Benefits
- save-as-you-earn scheme, employee referral scheme- earn £1,000 per person you successfully refer, free life assurance and access to our Benefits App offering unlimited access to a huge range of retailer discounts and cashback  deals (incl. Tesco, Asda, Currys, B&Q & Wickes to name just a few).
Lifestyle & Wellbeing Benefits
- discounted & flexible gym memberships, eye care vouchers, a cycle to work scheme, a 24/7 Employee Assistance Programme with an NHS Approved mental well-being mobile app.
Motoring Benefits
- access to an employee vehicle-leasing scheme, free motor accident assistance, discounted vehicle repairs and discounts on weekend vehicle hire and van hire.
Community
- Great working environment in our new offices with fantastic modern break out areas, free car parking, onsite canteen, kitchen facilities, TV area, and shower facilities for those that want to take advantage of the cycle to work scheme.
About you
·    You will have previous experience managing a team of Business Analysts
(essential)
·    You have a minimum of 2 years’ experience as a Lead/Senior Business Analyst and have experience or working in a project or business change environment in a fast-paced, corporate setting.
·    You will have an engaging personality with excellent communication and proven people management skills
·    An ability to excel in your ability to get the best out of your team members, through strong hands-on approach and performance management.
·    You’re able to demonstratable ability to quickly understand & evaluate business requirements to translate into logical and thorough documentation.
·    You have demonstratable experience of delivering change.
·    You have excellent communication skills, including the ability to build and maintain relationships with internal and external stakeholders
About us
FMG is the UK's leading independent provider of fleet incident management and specialist vehicle recovery services. We provide outsourced incident management support, specialist rapid response and recovery management to a wide range of insurers and blue light  services.
We put our customers at the heart of everything we do, making their lives easier and taking the stress out of accidents. Our commitment to customer service is what sets us apart.
Be part of our future
If you are interested in this opportunity and hold the relevant skills, we encourage you to apply today for an immediate consideration",2023-09-29T23:55:00.0000000,51123642,Bradley,"£35,000 - £50,000 per annum",GBP,FMG,2023-08-31,West Yorkshire,Senior Business Analyst,Permanent full-time
GB,"Apply on employer's website
Salary:
Up to £36,000 FTE
Job Type:
Part Time, Fixed Term
Location:
Head Office - West Didsbury
Benefits:
Competitive pension, 26 days holiday plus bank holidays, increasing with service, cycle to work scheme, season ticket loans for public transport plus much more.
*This is a 6 month fixed term contract, on a part time/job share basis of 17.5 hours per week*
What you’ll be doing
To produce and prepare timely and accurate performance management information as required across the Repairs Directorate to ensure added value through insight.
Carry out detailed analysis of performance management information, using a wide range of tools, to understand trends, variations and exceptions, and the reasons for these.
To provide regular updates around measures and ongoing performance to assist Heads of Service and Managers in decision making to focus on continuous improvement.
Provide a suite of data to enable Managers to understand, act, learn and improve through the identification of trends and patterns.
Working collaboratively with IT and business operation in order to deliver accurate performance data.
What you’ll need
Strong analytical skills and ability to provide pro-active insights as well as recommendations for change
Significant experience of producing data / reports and in a variety of formats
Advanced IT skills and proficient in using Microsoft Office applications -Intermediary / advanced Excel knowledge, experience with SQL in extracting data from source systems and Power Bi
Ability to complete tasks in an accurate and timely manner when working under pressure with attention to detail.
Experience of interrogating performance management information to identify trends and highlight where improvements could be made.
Ability to collate a range of performance and measures data, including data from external agencies (Local Authorities etc.).
Experience of using a range of tools to carry out detailed data analysis.
Excellent communication skills and the ability to translate information into concise, appropriate and accessible reports for a range of audiences.
Experience of successfully engaging colleagues and working collaboratively in delivering outcomes.
Ability to coach colleagues to develop their ability to interrogate the data and use it to understand, learn, act and improve.
Ability to develop and project a positive image of Great Places through personal, written and oral skills.
Understanding of value for money.
Experience of working within a defined change methodology e.g. Systems Thinking is desirable.
Ability to develop and project a positive image of Great Places through personal, written and oral skills
Good knowledge of the social housing sector is desirable
What we need from you
A passion for customer service
You will be required to attend a number of face to face training sessions as well as virtual sessions and e-learning this part of your role is vital and of equal importance as the day to day aspects
What we give you in return for your hard work and commitment
Pension | DC scheme (up to 10% contribution from both colleagues and Great Places)
WPA | Healthcare auto enrolled at no contribution level with £1250 of savings available - option to increase & add family members
Annual leave |Start at 26 days annual leave, increasing up to 30 days + Bank Holidays
Flexi time | Allows colleagues to achieve a healthy work life balance whilst carrying out requirement of the role. A maximum of 13 days flexi can be taken in a year
Greater Working | We offer Hybrid and flexible working to fit the schedule of you, so you can work to your greatest ability
Professional fees | The business pays the cost of one professional membership fee for each colleague
The Market Place |high street, restaurant & supermarket discounts, gym memberships, cycle to work, smart tech loans and much more
Health and wellbeing initiatives | Our colleagues enjoy wellbeing campaigns throughout the year, with activities designed around our four pillars of wellbeing, these include career wellbeing, mental wellbeing, physical wellbeing and financial wellbeing
REF-208489",2023-10-27T23:55:00.0000000,51233574,Greater Manchester,"£36,000 per annum",GBP,Great Places Housing Group,2023-09-15,Lancashire,Business Analyst,Permanent full-time
